timestamp_utc,symbols,impact,title
2026-03-19T12:00:00Z,GBP,high,BOE Monetary Policy Summary
2026-03-19T12:00:00Z,GBP,high,BOE Official Bank Rate
2026-03-19T12:30:00Z,USD,high,US Unemployment Claims
2026-03-19T13:15:00Z,EUR,high,ECB Main Refinancing Rate
2026-03-19T13:15:00Z,EUR,high,ECB Monetary Policy Statement
2026-03-19T13:45:00Z,EUR,high,ECB Press Conference
2026-03-21T17:30:00Z,USD,medium,Fed Chair Powell Speaks
